"hgnc_id"	"symbol"	"name"	"alias_symbol"	"prev_symbol"	"locus_group"
"HGNC:23845"	"SLX4"	"SLX4 structure-specific endonuclease subunit"	"KIAA1784|KIAA1987|FANCP"	"BTBD12"	"protein-coding gene"
"HGNC:16225"	"SLX4IP"	"SLX4 interacting protein"	"dJ1099D15.3"	"C20orf94"	"protein-coding gene"
"HGNC:15811"	"SLX9"	"SLX9 ribosome biogenesis factor"	"PRED56"	"C21orf70|FAM207A"	"protein-coding gene"
"HGNC:39715"	"SLX9P1"	"SLX9 pseudogene 1"	""	"FAM207BP"	"pseudogene"
"HGNC:58872"	"SLX9P2"	"SLX9 pseudogene 2"	""	""	"pseudogene"
"HGNC:42676"	"SLX9P3"	"SLX9 pseudogene 3"	""	"FAM207CP"	"pseudogene"
"HGNC:6767"	"SMAD1"	"SMAD family member 1"	"MADR1|JV4-1"	"MADH1"	"protein-coding gene"
"HGNC:49379"	"SMAD1-AS1"	"SMAD1 antisense RNA 1"	"ENST00000513542"	""	"non-coding RNA"
"HGNC:49381"	"SMAD1-AS2"	"SMAD1 antisense RNA 2"	""	""	"non-coding RNA"
"HGNC:6768"	"SMAD2"	"SMAD family member 2"	"MADR2|JV18-1"	"MADH2"	"protein-coding gene"
"HGNC:6769"	"SMAD3"	"SMAD family member 3"	"JV15-2|HsT17436"	"MADH3"	"protein-coding gene"
"HGNC:56692"	"SMAD3-AS1"	"SMAD3 antisense RNA 1"	"AC012568.1"	""	"non-coding RNA"
"HGNC:56759"	"SMAD3-DT"	"SMAD3 divergent transcript"	""	""	"non-coding RNA"
"HGNC:6770"	"SMAD4"	"SMAD family member 4"	"DPC4"	"MADH4"	"protein-coding gene"
"HGNC:6771"	"SMAD5"	"SMAD family member 5"	"Dwfc|JV5-1"	"MADH5"	"protein-coding gene"
"HGNC:30586"	"SMAD5-AS1"	"SMAD5 antisense RNA 1"	"DAMS"	"SMAD5OS"	"non-coding RNA"
"HGNC:6772"	"SMAD6"	"SMAD family member 6"	"HsT17432"	"MADH7|MADH6"	"protein-coding gene"
"HGNC:6773"	"SMAD7"	"SMAD family member 7"	""	"MADH8|MADH7"	"protein-coding gene"
"HGNC:6774"	"SMAD9"	"SMAD family member 9"	"SMAD8|SMAD8/9"	"MADH6|MADH9"	"protein-coding gene"
"HGNC:39963"	"SMAD9-IT1"	"SMAD9 intronic transcript 1"	""	"SMAD9-AS1"	"non-coding RNA"
"HGNC:26918"	"SMAGP"	"small cell adhesion glycoprotein"	"MGC149453|MGC149454|hSMAGP"	""	"protein-coding gene"
"HGNC:54417"	"SMANTIS"	"SMARCA4 interacting SWI/SNF chromatin remodeling complex scaffold lncRNA"	"MANTIS|ANXA4-AS|n342419"	""	"non-coding RNA"
"HGNC:19651"	"SMAP1"	"small ArfGAP 1"	"FLJ13159|SMAP-1"	""	"protein-coding gene"
"HGNC:25082"	"SMAP2"	"small ArfGAP2"	""	"SMAP1L"	"protein-coding gene"
"HGNC:11097"	"SMARCA1"	"SNF2 related chromatin remodeling ATPase 1"	"SNF2LB|NURF140|ISWI|SWI|hSNF2L"	"SNF2L1|SNF2L"	"protein-coding gene"
"HGNC:11098"	"SMARCA2"	"SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2"	"BAF190|hSNF2a|hBRM|Sth1p|SNF2LA|BRM|SNF2|SWI2"	"SNF2L2"	"protein-coding gene"
"HGNC:56062"	"SMARCA2-AS1"	"SMARCA2 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:11100"	"SMARCA4"	"SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4"	"hSNF2b|BRG1|BAF190|SNF2|SWI2|SNF2-BETA|SNF2LB|FLJ39786"	"SNF2L4"	"protein-coding gene"
"HGNC:11101"	"SMARCA5"	"SNF2 related chromatin remodeling ATPase 5"	"hSNF2H|hISWI|ISWI"	""	"protein-coding gene"
"HGNC:39982"	"SMARCA5-AS1"	"SMARCA5 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:18398"	"SMARCAD1"	"SNF2 related chromatin remodeling ATPase with DExD box 1"	"ETL1|DKFZP762K2015|KIAA1122|DKFZp762K2015"	"HPGDS-AS1"	"protein-coding gene"
"HGNC:53364"	"SMARCAD1-DT"	"SMARCAD1 divergent transcript"	""	""	"non-coding RNA"
"HGNC:11102"	"SMARCAL1"	"SNF2 related chromatin remodeling annealing helicase 1"	"HHARP|HARP"	""	"protein-coding gene"
"HGNC:40555"	"SMARCAL1-AS1"	"SMARCAL1 antisense RNA 1"	""	""	"non-coding RNA"
"HGNC:11103"	"SMARCB1"	"SWI/SNF related BAF chromatin remodeling complex subunit B1"	"BAF47|Ini1|INI-1|Snr1|hSNFS|Sfh1p|RDT|PPP1R144|SNF5"	"SNF5L1"	"protein-coding gene"
"HGNC:11104"	"SMARCC1"	"SWI/SNF related BAF chromatin remodeling complex subunit C1"	"BAF155|SRG3|Rsc8|CRACC1"	""	"protein-coding gene"
"HGNC:11105"	"SMARCC2"	"SWI/SNF related BAF chromatin remodeling complex subunit C2"	"BAF170|Rsc8|CRACC2"	""	"protein-coding gene"
"HGNC:11106"	"SMARCD1"	"SWI/SNF related BAF chromatin remodeling complex subunit D1"	"BAF60A|Rsc6p|CRACD1"	""	"protein-coding gene"
"HGNC:11107"	"SMARCD2"	"SWI/SNF related BAF chromatin remodeling complex subunit D2"	"BAF60B|Rsc6p|CRACD2|PRO2451"	""	"protein-coding gene"
"HGNC:11108"	"SMARCD3"	"SWI/SNF related BAF chromatin remodeling complex subunit D3"	"BAF60C|Rsc6p|CRACD3"	""	"protein-coding gene"
